city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,La Roda,39.2167,-2.15,57.9,68,0,6.33,ES,6/22/21 2:45
103,Cherskiy,68.75,161.3,72.48,28,53,5.17,RU,6/22/21 2:45
104,South Lake Tahoe,38.9332,-119.9844,79.45,34,1,5.75,US,6/22/21 2:45
105,Ust-Nera,64.5667,143.2,65.21,32,89,5.59,RU,6/22/21 2:45
106,San Quintin,30.4833,-115.95,63.93,85,61,11.41,MX,6/22/21 2:45
107,Saskylakh,71.9167,114.0833,81.21,38,3,7.09,RU,6/22/21 2:45
108,Yar-Sale,66.8333,70.8333,48.2,51,98,13.2,RU,6/22/21 2:45
109,Vanavara,60.34,102.2797,55.13,78,100,7.31,RU,6/22/21 2:45
110,Bosaso,11.2842,49.1816,89.22,41,97,25.12,SO,6/22/21 2:45
111,Pokhara,28.2333,83.9833,77.72,85,81,3.27,NP,6/22/21 2:45
112,Hilo,19.7297,-155.09,78.53,75,90,6.91,US,6/22/21 2:45
113,Cururupu,-1.8283,-44.8683,73,96,0,2.66,BR,6/22/21 2:45
114,Butaritari,3.0707,172.7902,82.9,68,88,2.82,KI,6/22/21 2:45
115,College,64.8569,-147.8028,71.55,69,75,9.22,US,6/22/21 2:42
116,Rocha,-34.4833,-54.3333,44.33,88,15,1.97,UY,6/22/21 2:45
117,Kiruna,67.8557,20.2251,49.12,93,90,6.91,SE,6/22/21 2:45
118,Baishishan,43.5833,127.5667,71.02,52,27,5.03,CN,6/22/21 2:45
119,Kalmunai,7.4167,81.8167,83.43,69,100,4.76,LK,6/22/21 2:45
120,Mairang,25.5667,91.6333,63.52,86,100,2.28,IN,6/22/21 2:45
121,San Cristobal,7.7669,-72.225,69.98,92,48,2.66,VE,6/22/21 2:45
122,Bambanglipuro,-7.95,110.2833,67.6,74,84,6.49,ID,6/22/21 2:45
123,Constitucion,-35.3333,-72.4167,54.05,70,100,5.14,CL,6/22/21 2:45
124,Merritt,50.1123,-120.7942,88.63,45,56,5.17,CA,6/22/21 2:45
125,Clyde River,70.4692,-68.5914,34.03,93,40,13.8,CA,6/22/21 2:45
126,Vilcun,-38.65,-72.2333,47.14,96,100,3.44,CL,6/22/21 2:45
127,Suhut,38.5311,30.5458,56.3,90,2,1.48,TR,6/22/21 2:45
128,Dingle,10.9995,122.6711,82.58,75,100,4.54,PH,6/22/21 2:45
129,Mount Isa,-20.7333,139.5,78.57,18,100,6.91,AU,6/22/21 2:45
130,Kihei,20.785,-156.4656,86.02,70,20,21.85,US,6/22/21 2:43
131,Korla,41.7597,86.1469,81.61,25,100,7.85,CN,6/22/21 2:45
132,Novikovo,51.1537,37.8879,67.8,78,0,9.95,RU,6/22/21 2:45
133,Faya,18.3851,42.4509,68.11,14,79,4.23,SA,6/22/21 2:45
134,Kushiro,42.975,144.3747,65.35,63,75,10.36,JP,6/22/21 2:45
135,Port Moresby,-9.4431,147.1797,85.42,66,40,11.5,PG,6/22/21 2:45
136,Turukhansk,65.8167,87.9833,39.06,97,100,14.14,RU,6/22/21 2:45
137,Rumford,44.5537,-70.5509,75.07,99,100,3.89,US,6/22/21 2:45
138,Zhaotong,27.3167,103.7167,66.56,54,98,2.17,CN,6/22/21 2:45
139,Jamestown,42.097,-79.2353,63.99,82,75,8.05,US,6/22/21 2:43
140,Kapaa,22.0752,-159.319,82.72,76,40,1.99,US,6/22/21 2:45
141,Baoqing,46.3317,132.2111,78.13,39,33,4.16,CN,6/22/21 2:45
142,Touros,-5.1989,-35.4608,74.3,89,23,10.92,BR,6/22/21 2:43
143,Upernavik,72.7868,-56.1549,36.61,70,3,4.76,GL,6/22/21 2:45
144,Miri,4.4148,114.0089,86.14,74,20,2.3,MY,6/22/21 2:45
145,Jos,9.9167,8.9,64.38,93,100,5.3,NG,6/22/21 2:45
146,Kirakira,-10.4544,161.9205,83.82,77,95,11.41,SB,6/22/21 2:45
147,West Odessa,31.8424,-102.4988,73.42,62,75,18.41,US,6/22/21 2:45
148,Atar,20.5169,-13.0499,86.25,17,8,8.9,MR,6/22/21 2:45
