City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
72,Codrington,AU,2021-06-22 03:37:58,-38.2667,141.9667,56.21,68,100,12.15,overcast clouds,0,0
73,Castro,BR,2021-06-22 03:37:37,-24.7911,-50.0119,52.23,97,99,1.03,overcast clouds,0,0
74,Chignahuapan,MX,2021-06-22 03:40:07,19.8333,-98.0333,58.37,88,100,5.77,overcast clouds,0,0
75,Vila Velha,BR,2021-06-22 03:38:16,-20.3297,-40.2925,71.55,78,90,8.05,overcast clouds,0,0
76,Touros,BR,2021-06-22 03:38:21,-5.1989,-35.4608,74.3,89,23,11.18,few clouds,0,0
77,Rio Gallegos,AR,2021-06-22 03:40:07,-51.6226,-69.2181,30.25,86,0,6.91,clear sky,0,0
78,Hermanus,ZA,2021-06-22 03:37:33,-34.4187,19.2345,60.91,76,46,27.42,scattered clouds,0,0
79,Khatanga,RU,2021-06-22 03:37:50,71.9667,102.5,64.76,51,94,8.39,overcast clouds,0,0
80,Klyuchi,RU,2021-06-22 03:40:07,52.2667,79.1667,57.31,57,67,12.62,light rain,0,0
81,Hyderabad,IN,2021-06-22 03:37:28,17.3753,78.4744,83.71,50,40,9.22,mist,0,0
82,Cidreira,BR,2021-06-22 03:39:21,-30.1811,-50.2056,57.78,92,81,2.04,broken clouds,0,0
83,Vryheid,ZA,2021-06-22 03:40:08,-27.7695,30.7917,44.26,42,0,4.0,clear sky,0,0
84,Ilulissat,GL,2021-06-22 03:37:53,69.2167,-51.1,44.62,57,0,5.75,clear sky,0,0
85,Leningradskiy,RU,2021-06-22 03:37:23,69.3833,178.4167,47.03,62,37,11.99,scattered clouds,0,0
86,Airai,TL,2021-06-22 03:38:20,-8.9266,125.4092,73.33,59,77,1.57,broken clouds,0,0
87,Kapaa,US,2021-06-22 03:37:24,22.0752,-159.319,80.92,76,20,1.99,few clouds,0,0
88,Longyearbyen,SJ,2021-06-22 03:38:17,78.2186,15.6401,39.04,87,75,2.3,broken clouds,0,0
89,Upernavik,GL,2021-06-22 03:38:17,72.7868,-56.1549,36.32,70,2,4.79,clear sky,0,0
90,Margate,GB,2021-06-22 03:39:36,51.3813,1.3862,55.11,89,100,8.01,light rain,0,0
91,Saldanha,ZA,2021-06-22 03:38:00,-33.0117,17.9442,60.85,91,55,16.24,broken clouds,0,0
92,Jiuquan,CN,2021-06-22 03:40:08,39.7432,98.5174,82.96,21,69,11.77,broken clouds,0,0
93,Port Blair,IN,2021-06-22 03:37:48,11.6667,92.75,85.68,71,89,17.45,overcast clouds,0,0
94,Camana,PE,2021-06-22 03:37:20,-16.6228,-72.7111,62.22,90,76,6.96,broken clouds,0,0
95,Victoria,HK,2021-06-22 03:35:09,22.2855,114.1577,80.33,90,100,1.01,moderate rain,0,0
96,Klaksvik,FO,2021-06-22 03:38:19,62.2266,-6.589,47.32,84,88,19.69,overcast clouds,0,0
97,Pietarsaari,FI,2021-06-22 03:40:09,63.65,22.6833,62.73,88,94,1.68,overcast clouds,0,0
98,Faya,SA,2021-06-22 03:38:09,18.3851,42.4509,66.72,12,84,4.07,broken clouds,0,0
99,Mar Del Plata,AR,2021-06-22 03:37:22,-38.0023,-57.5575,50.13,63,0,8.99,clear sky,0,0
100,Tashla,RU,2021-06-22 03:40:10,51.7716,52.7427,78.44,49,0,5.14,clear sky,0,0
101,Ambilobe,MG,2021-06-22 03:38:54,-13.2,49.05,68.2,73,47,4.94,scattered clouds,0,0
102,Erenhot,CN,2021-06-22 03:40:10,43.6475,111.9767,81.36,21,88,13.2,overcast clouds,0,0
103,Qaanaaq,GL,2021-06-22 03:37:48,77.484,-69.3632,35.28,72,20,7.7,few clouds,0,0
