city_id,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Camana,PE,62.22,broken clouds,-16.6228,-72.7111,
95,Victoria,HK,80.33,moderate rain,22.2855,114.1577,
97,Pietarsaari,FI,62.73,overcast clouds,63.65,22.6833,
98,Faya,SA,66.72,broken clouds,18.3851,42.4509,
100,Tashla,RU,78.44,clear sky,51.7716,52.7427,
101,Ambilobe,MG,68.2,scattered clouds,-13.2,49.05,
102,Erenhot,CN,81.36,overcast clouds,43.6475,111.9767,
106,Yellowknife,CA,66.72,broken clouds,62.456,-114.3525,
108,Kulhudhuffushi,MV,82.11,few clouds,6.6221,73.07,
112,Bethel,US,74.25,light rain,41.3712,-73.414,
114,Carmo Do Rio Verde,BR,67.15,clear sky,-15.3536,-49.7075,
116,Sabang,ID,83.26,overcast clouds,5.8933,95.3214,
117,Le Port,RE,66.2,broken clouds,-20.9373,55.2919,
119,San Quintin,MX,63.36,broken clouds,30.4833,-115.95,
120,Kineta,GR,76.69,few clouds,37.9709,23.2183,
121,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,
123,Nikolskoye,RU,76.8,clear sky,59.7035,30.7861,
124,Puerto Leguizamo,CO,68.81,broken clouds,-0.1934,-74.7819,
125,Namibe,AO,66.88,few clouds,-15.1961,12.1522,
127,Mahebourg,MU,66.49,broken clouds,-20.4081,57.7,
129,Tiksi,RU,60.98,few clouds,71.6872,128.8694,
131,Najran,SA,79.45,few clouds,17.4924,44.1277,
132,Port-Gentil,GA,76.91,light rain,-0.7193,8.7815,
133,Porto Velho,BR,71.65,light rain,-8.7619,-63.9039,
134,Esfarayen,IR,65.86,clear sky,37.0765,57.5101,
135,Conceicao Do Araguaia,BR,75.33,clear sky,-8.2578,-49.2647,
136,Saskylakh,RU,81.77,clear sky,71.9167,114.0833,
137,Fengzhen,CN,80.6,clear sky,40.4394,113.1536,
139,Palauig,PH,84.61,overcast clouds,15.435,119.9045,
140,Jilin,CN,71.17,scattered clouds,43.0,126.0,
141,Teguldet,RU,62.64,overcast clouds,57.3064,88.1667,
146,Shiozawa,JP,80.87,overcast clouds,37.0333,138.85,
147,Ignacio Zaragoza,MX,64.18,overcast clouds,28.3833,-107.2167,
151,Yenagoa,NG,73.29,light rain,4.9247,6.2642,
153,Rio Verde De Mato Grosso,BR,71.67,overcast clouds,-18.9181,-54.8442,
154,Dutse,NG,78.67,light rain,11.7594,9.3392,
155,Tecoanapa,MX,80.69,broken clouds,16.5167,-98.75,
158,Hargeysa,SO,68.18,clear sky,9.56,44.065,
159,Hihya,EG,74.28,clear sky,30.6713,31.588,
160,Tessalit,ML,82.26,clear sky,20.1986,1.0114,
162,Asekeyevo,RU,76.91,clear sky,53.5742,52.7972,
